Model;ID#;Run desc;Rep;Epoch;DPDD score;Loss (validation);Data Dropped
Base;1;lr0.0001_r4_doc3_th0.5_yr2018-2022;1;1;11.5122;1.1827;
Base;1;lr0.0001_r4_doc3_th0.5_yr2018-2022;1;2;11.4666;1.0242;
Base;1;lr0.0001_r4_doc3_th0.5_yr2018-2022;2;1;11.4812;1.0964;
Base;1;lr0.0001_r4_doc3_th0.5_yr2018-2022;2;2;11.0831;0.9283;
Base;2;lr0.0001_r4_doc3_th0.5_yrpost-2022;1;1;11.7879;1.3356;
Base;2;lr0.0001_r4_doc3_th0.5_yrpost-2022;1;2;13.3879;1.1039;
Base;2;lr0.0001_r4_doc3_th0.5_yrpost-2022;2;1;11.8662;1.4283;
Base;2;lr0.0001_r4_doc3_th0.5_yrpost-2022;2;2;12.0555;1.2258;
Base;3;lr0.0001_r4_doc3_th0.5_yrpre-2018;1;1;11.0169;1.1450;
Base;3;lr0.0001_r4_doc3_th0.5_yrpre-2018;1;2;11.2056;1.0171;
Base;3;lr0.0001_r4_doc3_th0.5_yrpre-2018;2;1;11.3437;1.0091;
Base;3;lr0.0001_r4_doc3_th0.5_yrpre-2018;2;2;11.3419;0.8802;
Base;4;lr0.0001_r8_doc3_th0.5_yr2018-2022;1;1;8.2880;1.2178;
Base;4;lr0.0001_r8_doc3_th0.5_yr2018-2022;1;2;7.6882;1.0266;
Base;4;lr0.0001_r8_doc3_th0.5_yr2018-2022;2;1;8.5334;1.1159;
Base;4;lr0.0001_r8_doc3_th0.5_yr2018-2022;2;2;7.8368;0.9327;
Base;5;lr0.0001_r8_doc3_th0.5_yrpost-2022;1;1;8.4801;1.2750;
Base;5;lr0.0001_r8_doc3_th0.5_yrpost-2022;1;2;9.1353;1.0840;
Base;5;lr0.0001_r8_doc3_th0.5_yrpost-2022;2;1;8.5852;1.4484;
Base;5;lr0.0001_r8_doc3_th0.5_yrpost-2022;2;2;9.0099;1.2447;
Base;6;lr0.0001_r8_doc3_th0.5_yrpre-2018;1;1;7.6712;1.1163;
Base;6;lr0.0001_r8_doc3_th0.5_yrpre-2018;1;2;7.8387;1.0005;
Base;6;lr0.0001_r8_doc3_th0.5_yrpre-2018;2;1;7.9598;0.9843;
Base;6;lr0.0001_r8_doc3_th0.5_yrpre-2018;2;2;8.2672;0.8671;
Base;7;lr0.0003_r4_doc3_th0.5_yr2018-2022;1;1;7.2160;0.9110;
Base;7;lr0.0003_r4_doc3_th0.5_yr2018-2022;1;2;5.4619;0.7322;
Base;7;lr0.0003_r4_doc3_th0.5_yr2018-2022;2;1;7.2694;0.8029;
Base;7;lr0.0003_r4_doc3_th0.5_yr2018-2022;2;2;5.5409;0.6594;
Base;8;lr0.0003_r4_doc3_th0.5_yrpost-2022;1;1;9.3261;0.9548;
Base;8;lr0.0003_r4_doc3_th0.5_yrpost-2022;1;2;7.0461;0.7484;
Base;8;lr0.0003_r4_doc3_th0.5_yrpost-2022;2;1;9.6962;1.1119;
Base;8;lr0.0003_r4_doc3_th0.5_yrpost-2022;3;2;8.4644;0.8818;
Base;9;lr0.0003_r4_doc3_th0.5_yrpre-2018;1;1;7.3429;1.0023;
Base;9;lr0.0003_r4_doc3_th0.5_yrpre-2018;1;2;5.8586;0.8809;
Base;9;lr0.0003_r4_doc3_th0.5_yrpre-2018;2;1;7.8544;0.8364;
Base;9;lr0.0003_r4_doc3_th0.5_yrpre-2018;2;2;6.2772;0.7118;
Base;10;lr0.0003_r8_doc3_th0.5_yr2018-2022;1;1;4.7456;0.9126;
Base;10;lr0.0003_r8_doc3_th0.5_yr2018-2022;1;2;3.8645;0.7304;
Base;10;lr0.0003_r8_doc3_th0.5_yr2018-2022;2;1;5.7047;0.8114;
Base;10;lr0.0003_r8_doc3_th0.5_yr2018-2022;2;2;3.8981;0.6604;
Base;11;lr0.0003_r8_doc3_th0.5_yrpost-2022;1;1;6.5283;0.9843;
Base;11;lr0.0003_r8_doc3_th0.5_yrpost-2022;1;2;5.4298;0.7811;
Base;11;lr0.0003_r8_doc3_th0.5_yrpost-2022;2;1;7.7940;1.0902;
Base;11;lr0.0003_r8_doc3_th0.5_yrpost-2022;2;2;5.1795;0.8775;
Base;12;lr0.0003_r8_doc3_th0.5_yrpre-2018;1;1;5.1944;0.9979;
Base;12;lr0.0003_r8_doc3_th0.5_yrpre-2018;1;2;4.0424;0.8636;
Base;12;lr0.0003_r8_doc3_th0.5_yrpre-2018;2;1;5.4704;0.8283;
Base;12;lr0.0003_r8_doc3_th0.5_yrpre-2018;2;2;5.0804;0.7091;
DPDD;1;lr0.0001_r4_doc3_th0.5_yr2018-2022;1;1;11.5751;1.1423;39/390
DPDD;1;lr0.0001_r4_doc3_th0.5_yr2018-2022;1;2;9.3540;0.8997;35/351
DPDD;1;lr0.0001_r4_doc3_th0.5_yr2018-2022;2;1;11.3167;1.0716;39/390
DPDD;1;lr0.0001_r4_doc3_th0.5_yr2018-2022;2;2;9.1928;0.8049;35/351
DPDD;2;lr0.0001_r4_doc3_th0.5_yrpost-2022;1;1;11.6137;1.2525;14/139
DPDD;2;lr0.0001_r4_doc3_th0.5_yrpost-2022;1;2;11.3796;0.9239;13/125
DPDD;2;lr0.0001_r4_doc3_th0.5_yrpost-2022;2;1;12.0769;1.3480;14/139
DPDD;2;lr0.0001_r4_doc3_th0.5_yrpost-2022;2;2;12.5770;1.0163;13/125
DPDD;3;lr0.0001_r4_doc3_th0.5_yrpre-2018;1;1;10.3688;1.1021;20/202
DPDD;3;lr0.0001_r4_doc3_th0.5_yrpre-2018;1;2;9.5047;0.9649;18/182
DPDD;3;lr0.0001_r4_doc3_th0.5_yrpre-2018;2;1;10.5277;0.9623;20/202
DPDD;3;lr0.0001_r4_doc3_th0.5_yrpre-2018;2;2;11.1001;0.8003;18/182
DPDD;4;lr0.0001_r8_doc3_th0.5_yr2018-2022;1;1;8.1043;1.1193;39/390
DPDD;4;lr0.0001_r8_doc3_th0.5_yr2018-2022;1;2;6.8235;0.9034;35/351
DPDD;4;lr0.0001_r8_doc3_th0.5_yr2018-2022;2;1;7.6693;1.0554;39/390
DPDD;4;lr0.0001_r8_doc3_th0.5_yr2018-2022;2;2;6.4573;0.7983;35/351
DPDD;5;lr0.0001_r8_doc3_th0.5_yrpost-2022;1;1;8.3342;1.2512;14/139
DPDD;5;lr0.0001_r8_doc3_th0.5_yrpost-2022;1;2;8.0697;0.9406;13/125
DPDD;5;lr0.0001_r8_doc3_th0.5_yrpost-2022;2;1;8.6836;1.3740;14/139
DPDD;5;lr0.0001_r8_doc3_th0.5_yrpost-2022;2;2;8.4418;0.9966;13/125
DPDD;6;lr0.0001_r8_doc3_th0.5_yrpre-2018;1;1;7.1868;1.1101;20/202
DPDD;6;lr0.0001_r8_doc3_th0.5_yrpre-2018;1;2;6.8984;0.9464;18/182
DPDD;6;lr0.0001_r8_doc3_th0.5_yrpre-2018;2;1;7.7430;0.9819;20/202
DPDD;6;lr0.0001_r8_doc3_th0.5_yrpre-2018;2;2;7.1360;0.8013;18/182
DPDD;7;lr0.0003_r4_doc3_th0.5_yr2018-2022;1;1;7.1006;0.8787;39/390
DPDD;7;lr0.0003_r4_doc3_th0.5_yr2018-2022;1;2;4.6161;0.7076;35/351
DPDD;7;lr0.0003_r4_doc3_th0.5_yr2018-2022;2;1;7.5602;0.8585;39/390
DPDD;7;lr0.0003_r4_doc3_th0.5_yr2018-2022;2;2;4.6724;0.6564;35/351
DPDD;8;lr0.0003_r4_doc3_th0.5_yrpost-2022;1;1;8.7205;0.9219;14/139
DPDD;8;lr0.0003_r4_doc3_th0.5_yrpost-2022;1;2;7.6273;0.7119;13/125
DPDD;8;lr0.0003_r4_doc3_th0.5_yrpost-2022;2;1;9.0686;1.0959;14/139
DPDD;8;lr0.0003_r4_doc3_th0.5_yrpost-2022;3;2;5.5893;0.8225;13/125
DPDD;9;lr0.0003_r4_doc3_th0.5_yrpre-2018;1;1;6.9819;0.9918;20/202
DPDD;9;lr0.0003_r4_doc3_th0.5_yrpre-2018;1;2;4.7702;0.8815;18/182
DPDD;9;lr0.0003_r4_doc3_th0.5_yrpre-2018;2;1;7.3878;0.8488;20/202
DPDD;9;lr0.0003_r4_doc3_th0.5_yrpre-2018;2;2;7.6488;0.7417;18/182
DPDD;10;lr0.0003_r8_doc3_th0.5_yr2018-2022;1;1;4.7721;0.8881;39/390
DPDD;10;lr0.0003_r8_doc3_th0.5_yr2018-2022;1;2;3.1600;0.6997;35/351
DPDD;10;lr0.0003_r8_doc3_th0.5_yr2018-2022;2;1;4.7596;0.8030;39/390
DPDD;10;lr0.0003_r8_doc3_th0.5_yr2018-2022;2;2;3.1624;0.6401;35/351
DPDD;11;lr0.0003_r8_doc3_th0.5_yrpost-2022;1;1;6.6209;0.9882;14/139
DPDD;11;lr0.0003_r8_doc3_th0.5_yrpost-2022;1;2;9.2849;0.7019;13/125
DPDD;11;lr0.0003_r8_doc3_th0.5_yrpost-2022;2;1;6.0978;1.0557;14/139
DPDD;11;lr0.0003_r8_doc3_th0.5_yrpost-2022;2;2;5.2529;0.7786;13/125
DPDD;12;lr0.0003_r8_doc3_th0.5_yrpre-2018;1;1;4.8637;0.9556;20/202
DPDD;12;lr0.0003_r8_doc3_th0.5_yrpre-2018;1;2;3.3003;0.8629;18/182
DPDD;12;lr0.0003_r8_doc3_th0.5_yrpre-2018;2;1;5.3696;0.8304;20/202
DPDD;12;lr0.0003_r8_doc3_th0.5_yrpre-2018;2;2;3.5332;0.7012;18/182