lora_rank;learning_rate;retrieval_docs;es_threshold;dpdd;year_group;replication
4;0.0001;3;0.5;False;pre-2018;1
4;0.0001;3;0.5;False;pre-2018;2
4;0.0001;3;0.5;True;2018-2022;1
4;0.0001;3;0.5;False;2018-2022;2
4;0.0001;3;0.5;False;post-2022;1
4;0.0001;3;0.5;True;post-2022;2
4;0.0003;3;0.5;False;pre-2018;1
4;0.0003;3;0.5;False;pre-2018;2
4;0.0003;3;0.5;False;2018-2022;1
4;0.0003;3;0.5;True;2018-2022;2
4;0.0003;3;0.5;False;post-2022;1
4;0.0003;3;0.5;False;post-2022;2
8;0.0001;3;0.5;False;pre-2018;1
8;0.0001;3;0.5;False;pre-2018;2
8;0.0001;3;0.5;False;2018-2022;1
8;0.0001;3;0.5;True;2018-2022;2
8;0.0001;3;0.5;False;post-2022;1
8;0.0001;3;0.5;False;post-2022;2
8;0.0003;3;0.5;False;pre-2018;1
8;0.0003;3;0.5;False;pre-2018;2
8;0.0003;3;0.5;False;2018-2022;1
8;0.0003;3;0.5;False;2018-2022;2
8;0.0003;3;0.5;True;post-2022;1
8;0.0003;3;0.5;False;post-2022;2